Entities,Team
ABA_ROUTING_NUMBER,CodeClan
AU_ABN,CodeClan
AU_ACN,CodeClan
AU_MEDICARE,CodeClan
AU_TFN,CodeClan
,
CREDIT_CARD,Operation Eclipse
CRYPTO,Operation Eclipse
DATE_TIME,Operation Eclipse
EMAIL_ADDRESS,Operation Eclipse
MEDICAL_LICENSE,Operation Eclipse
,
ES_NIE,Team 1
ES_NIF,Team 1
FI_PERSONAL_IDENTITY_CODE,Team 1
IBAN_CODE,Team 1
IP_ADDRESS,Team 1
,
IN_AADHAAR,Team 2
IN_PAN,Team 2
IN_PASSPORT,Team 2
IN_VEHICLE_REGISTRATION,Team 2
IN_VOTER,Team 2
,
IT_DRIVER_LICENSE,Team 3
IT_FISCAL_CODE,Team 3
IT_IDENTITY_CARD,Team 3
IT_PASSPORT,Team 3
IT_VAT_CODE,Team 3
,
URL,Team A
US_BANK_NUMBER,Team A
US_DRIVER_LICENSE,Team A
US_ITIN,Team A
US_PASSPORT,Team A
,
PHONE_NUMBER,Team Z
LOCATION,Team Z
PERSON,Team Z
UK_NHS,Team Z
UK_NINO,Team Z
,
US_SSN,Null
